date,flat_price,gold,ounce,usd,flat_price_usd,flat_price_gold,salary,salaries_m2,m2mgrow,m1
2006-09-30,5605.0,60.72,1882.32,3.1425,1783.6117740652346,2.9777083598962983,2611.16,2.1465555538534598,,253.3
2006-12-31,6186.0,59.32,1838.92,2.9105,2125.4080054973374,3.36393100298001,3027.51,2.043263275761269,0.10365744870651204,275.83
2007-03-31,7302.0,61.78,1915.18,2.9058,2512.905224034689,3.8126964567299155,2852.71,2.5596713300686016,0.18040737148399613,286.47
2007-06-30,7523.0,58.42,1811.02,2.7989,2687.841652077602,4.154012655851399,2893.71,2.5997767571733172,0.030265680635442344,295.88
2007-09-30,7879.0,62.89,1949.59,2.6647,2956.80564416257,4.041362542893634,2858.83,2.7560225686731985,0.04732154725508441,309.75
2007-12-31,8571.0,65.86,2041.66,2.435,3519.917864476386,4.198054524259671,3246,2.6404805914972274,0.08782840461987562,335.27
2008-03-31,8535.0,67.18,2082.5800000000004,2.2305,3826.4963012777403,4.098281938749051,3144.41,2.714340687124135,-0.004200210010500525,338
2008-06-30,8611.0,63.16,1957.9599999999998,2.1194,4062.9423421723127,4.397944799689473,3215.32,2.6781160195563736,0.008904510837727007,353.67
2008-09-30,8325.0,68.8,2132.7999999999997,2.3708,3511.4729205331532,3.903319579894974,3171.65,2.6248167357684484,-0.033213331784926255,355
2008-12-31,8149.0,81.29,2519.9900000000002,2.9618,2751.3674117090954,3.233742991043615,3419.82,2.382873952430245,-0.021141141141141143,349.94
2009-03-31,7543.0,106.76,3309.56,3.5416,2129.8283261802576,2.2791549329820278,3332.65,2.2633639896178717,-0.07436495275493926,356.86
2009-06-30,7461.0,96.51,2991.81,3.1733,2351.1801594554568,2.4938080961023594,3287.88,2.2692434030439066,-0.010871006230942596,370.62
2009-09-30,7585.235697,91.58,2838.98,2.8852,2629.015561139609,2.671817236120015,3283.18,2.3103319638277524,0.016651346602332136,372.83
2009-12-31,7679.589222,100.42,3113.02,2.8503,2694.309097989685,2.466925757624429,3652.4,2.102614506078195,0.012439102589431313,388.34
2010-03-31,8173.215445708,102.31,3171.61,2.872,2845.827105051532,2.576992582854764,3493.42,2.3396028664483515,0.06427768588115246,389.59
2010-06-30,7973.89213438384,135.57,4202.67,3.3946,2348.993146286408,1.8973395804057516,3403.65,2.342747384244514,-0.024387380052342818,415.24
2010-09-30,7940.206331142,122.87,3808.9700000000003,2.925,2714.600455091282,2.0846072116981755,3403.68,2.3328298580189677,-0.004224512029274319,419.21
2010-12-31,7440.55675933,135.48,4199.88,2.9641,2510.2246075807157,1.7716117506523996,3847.91,1.9336618474262652,-0.06292652243208616,449.33
2011-03-31,8037.0,129.59,4017.29,2.8229,2847.07215983563,2.000602396142673,3633.54,2.2118925345530807,0.0801611035252297,458.91
2011-06-30,7526.773102662611,134.81,4179.11,2.7517,2735.3174774367158,1.8010468981822951,3600.47,2.090497380248304,-0.06348474522052873,451.25
2011-09-30,7422.746064729731,168.29,5216.99,3.2574,2278.7333654846598,1.4228024329603337,3581.94,2.0722697936676022,-0.013820934484670422,444.75
2011-12-31,7225.681702302718,167.97,5207.07,3.4174,2114.3798508523196,1.3876674794659412,4015.37,1.7995058244452486,-0.02654871400806685,467.98
2012-03-31,6966.769914028987,166.45,5159.95,3.1191,2233.583377906764,1.3501622911130897,3770.66,1.8476261222250183,-0.03583216074840656,454.29
2012-06-30,7042.943540678168,172.42,5345.0199999999995,3.3885,2078.4841495287496,1.3176645813632444,3754.48,1.8758772295173147,0.010933851352804098,462.66
2012-09-30,6756.71012076573,182.71,5664.01,3.178,2126.088773054037,1.192919878454616,3640.84,1.855810780140223,-0.04064116349353504,457.34
2012-12-31,6466.028355775188,164.63,5103.53,3.0996,2086.084770865656,1.2669717540163747,4107.95,1.5740280080758502,-0.0430211981563594,484.82
2013-03-31,6989.64032684866,168.42,5221.0199999999995,3.259,2144.719339321467,1.3387499620473893,3832.81,1.823633398694081,0.08097891661823653,487.39
2013-06-30,7018.096418042534,131.73,4083.6299999999997,3.3175,2115.477443268285,1.7185926291173625,3808.63,1.8426826491527226,0.004071181042688064,523.78
2013-09-30,7172.740614766419,135.06,4186.86,3.1227,2296.9675648529856,1.713155112606206,3770.91,1.9021245839244159,0.022035063001744452,540.87
2013-12-31,7427.495037694658,116.89,3623.59,3.012,2465.9678079995547,2.049761434846287,4221.5,1.759444519174383,0.0355170271184462,555.85
2014-03-31,7298.319226913252,126.45,3919.9500000000003,3.0344,2405.1935232379556,1.8618398772722233,4017.75,1.816519003649618,-0.017391571468689835,558.95
2014-06-30,7315.614550027939,129.13,4003.0299999999997,3.0473,2400.687346184471,1.827519291643565,3943.01,1.8553375593843127,0.0023697679666995776,572.38
2014-09-30,7445.5271821529695,129.39,4011.0899999999997,3.2973,2258.067868302238,1.856235382939044,3900.49,1.9088697015382605,0.017758266409010626,578.49
2014-12-31,7314.723076602341,137.47,4261.57,3.5072,2085.6304392684597,1.7164385605779893,4379.26,1.6703102982244353,-0.017568145592721424,606.29
2015-03-31,7395.596806207275,143.66,4453.46,3.8125,1939.8286704805969,1.660640671793903,4214.14,1.7549480573040466,0.01105629410136186,620.09
2015-06-30,7509.9059543004505,142.43,4415.33,3.7645,1994.927866728769,1.7008708192367163,4039.7,1.8590256589104268,0.015456379125107696,638.62
2015-09-30,7557.105909657103,137.59,4265.29,3.7754,2001.6702626627916,1.7717683697139242,4059.19,1.8617275637891064,0.0062850261566357556,655.9
2015-12-31,7461.922544375651,132.23,4099.13,3.9011,1912.7739725655972,1.8203673814628107,4515.28,1.6525935366966504,-0.012595213884698746,692.09
2016-03-31,7639.388136193285,149.04,4620.24,3.759,2032.2926672501426,1.6534613215316274,4351.5,1.755575809765204,0.023782824166594566,705.87
2016-06-30,7582.883,169.56,5256.36,3.9803,1905.1033841670226,1.4426110464275659,4252.19,1.7832888464532395,-0.007396552601585988,740.26
2016-09-30,7696.128493308946,162.54,5038.74,3.8558,1995.9874716813492,1.527391469555672,4217.96,1.8246091696718192,0.014934358516272322,753.38
2016-12-31,7686.002090118282,155.32,4814.92,4.1793,1839.0644581911522,1.596288638257392,4635.77,1.657977442823583,-0.0013157788619912994,815.31
2017-03-31,7562.114717666345,158.2,4904.2,3.9455,1916.6429394668219,1.541967031863779,4577.86,1.6518885937242174,-0.016118571267527422,810.79
2017-06-30,7682.575698500695,148.41,4600.71,3.7062,2072.898305137525,1.6698674114431673,4508.08,1.704179095868018,0.01592953629134092,830.44
2017-09-30,7819.85595173138,151.35,4691.849999999999,3.6519,2141.3116327750977,1.6666892487465244,4473.06,1.7482117279292875,0.01786904010037626,844.46
2017-12-31,7750.880270995374,145.48,4509.88,3.4813,2226.432732311313,1.7186444586098464,4973.7,1.558373096687652,-0.00882058201094275,906.37
2018-03-31,7964.892386284349,145.56,4512.36,3.4139,2333.077239018234,1.7651278679636266,4886.56,1.6299589867482132,0.027611330301389302,890.4
2018-06-30,8182.738187047826,151.72,4703.32,3.744,2185.560413207218,1.7397791745081828,4848.16,1.6878028338684834,0.027350752552364632,921.9
2018-09-30,8537.82516751516,139.32,4318.92,3.6754,2322.964892940948,1.976842629063553,4771.86,1.7892027778508088,0.04339464032093679,945.17
2018-12-31,8564.578476304137,154.41,4786.71,3.7597,2277.995179483506,1.7892411439807587,5274.95,1.623632162637397,0.003133503938540263,1012.35
2019-03-31,8771.15430060197,159.07,4931.17,3.8365,2286.2385769847438,1.7787166738526494,5164.53,1.6983451157417944,0.024119788833667763,1010.35
2019-06-30,8932.049249528349,168.75,5231.25,3.7336,2392.3423102443617,1.7074407167557177,5104.5,1.749838230880272,0.018343645934416782,1046.55
2019-09-30,9188.448558315808,192.34,5962.54,4.0,2297.112139578952,1.5410292523514824,5084.56,1.8071275701960066,0.028705541318079692,1082.38
2019-12-31,9475.831959098177,185.19,5740.89,3.7977,2495.150211732938,1.6505858776423477,5604.25,1.690829630922635,0.031276596800694896,1154.87
2020-03-31,9818.601940341145,212.97,6602.07,4.1466,2367.868118540767,1.4872005204945034,5489.21,1.788709475560444,0.036173075115991084,1224.78
2020-06-30,9438.246533043302,225.88,7002.28,3.9806,2371.0612804711104,1.3478819088987162,5286,1.7855176944841662,-0.03873824497712827,1395.85
2020-09-30,10182.752715356784,237.6,7365.599999999999,3.8658,2634.060922799106,1.382474301531007,5371.56,1.8956788559295221,0.07888183252121735,1454.11
2020-12-31,10239.68834033424,223.95,6942.45,3.7584,2724.4807206083015,1.4749387234094937,5973.75,1.7141139720166128,0.005591378536728081,1531.71
2021-03-31,10665.869259657931,214.42,6647.0199999999995,3.9676,2688.2420757278787,1.6046091721791016,5929.05,1.7989170709739217,0.0416204971439375,1603.11
2021-06-30,10695.52058927656,213.99,6633.6900000000005,3.8035,2812.02066235745,1.6123033468969095,5802.42,1.8432861787455166,0.0027800199774416154,1634.72
2021-09-30,11005.860979554942,221.64,6870.839999999999,3.9925,2756.633933514074,1.6018217538983506,5841.16,1.8841909791128717,0.029015921916837936,1678.18
2021-12-31,11620.607476571835,235.9,7312.900000000001,4.06,2862.2185902886295,1.5890559800587776,6644.39,1.7489351884178734,0.05585628404346357,1724.93
2022-03-31,12380.662357093432,259.22,8035.820000000001,4.1801,2961.8100899723527,1.540684380323779,6665.64,1.8573853909142155,0.06540577866122181,1718.85
2022-06-30,12343.410440092872,260.25,8067.75,4.4825,2753.6888879180974,1.5299693768513987,6554.87,1.8830900445154324,-0.003008879163820873,
2022-09-30,12726.522427750875,267.74,8299.94,4.9533,2569.3017640261796,1.533327039442559,6687.81,1.9029431798676808,0.031037774326421956,
2022-12-31,12835.956204420827,257.02,7967.619999999999,4.4018,2916.069836071795,1.6110151092071194,7329.96,1.7511631993108867,0.008598875088714378,
2023-03-31,12817.895151153207,272.03,8432.929999999998,4.2934,2985.488226383101,1.5199812107005761,7508.34,1.7071543312041286,-0.0014070672242867018,
2023-06-30,13135.442685750286,249.36,7730.160000000001,4.1066,3198.6175146715736,1.699245899923195,,,0.02477376596176243,
