date,value
III 2022,1 718.85
II 2022,1 704.15
I 2022,1 699.33
XII 2021,1 724.93
XI 2021,1 726.46
X 2021,1 696.55
IX 2021,1 678.18
VIII 2021,1 663.57
VII 2021,1 651.44
VI 2021,1 634.72
V 2021,1 622.87
IV 2021,1 606.98
III 2021,1 603.11
II 2021,1 570.54
I 2021,1 539.6
XII 2020,1 531.71
XI 2020,1 502.54
X 2020,1 481.05
IX 2020,1 454.11
VIII 2020,1 429.11
VII 2020,1 410.04
VI 2020,1 395.85
V 2020,1 338.26
IV 2020,1 275.59
III 2020,1 224.78
II 2020,1 152.64
I 2020,1 127.7
XII 2019,1 154.87
XI 2019,1 109.06
X 2019,1 089.79
IX 2019,1 082.38
VIII 2019,1 064.53
VII 2019,1 057.09
VI 2019,1 046.55
V 2019,1 035.86
IV 2019,1 020.81
III 2019,1 010.35
II 2019,1 002.34
I 2019,987.02
XII 2018,1 012.35
XI 2018,974.89
X 2018,957.38
IX 2018,945.17
VIII 2018,937.1
VII 2018,931.5
VI 2018,921.9
V 2018,912.15
IV 2018,899.5
III 2018,890.4
II 2018,892.3
I 2018,885.71
XII 2017,906.37
XI 2017,874.44
X 2017,856.91
IX 2017,844.46
VIII 2017,843.17
VII 2017,837.27
VI 2017,830.44
V 2017,825.3
IV 2017,811.9
III 2017,810.79
II 2017,809.62
I 2017,797.29
XII 2016,815.31
XI 2016,784.75
X 2016,759.09
IX 2016,753.38
VIII 2016,749.54
VII 2016,739.42
VI 2016,740.26
V 2016,728.62
IV 2016,711.24
III 2016,705.87
II 2016,700.61
I 2016,686.59
XII 2015,692.09
XI 2015,676.82
X 2015,657.28
IX 2015,655.9
VIII 2015,652.36
VII 2015,639.68
VI 2015,638.62
V 2015,621.99
IV 2015,612.56
III 2015,620.09
II 2015,603.44
I 2015,596.57
XII 2014,606.29
XI 2014,583.68
X 2014,574.61
IX 2014,578.49
VIII 2014,574.53
VII 2014,570.51
VI 2014,572.38
V 2014,557.62
IV 2014,548.39
III 2014,558.95
II 2014,548.03
I 2014,546.49
XII 2013,555.85
XI 2013,538.84
X 2013,536.24
IX 2013,540.87
VIII 2013,531.12
VII 2013,530.66
VI 2013,523.78
V 2013,508.3
IV 2013,493.72
III 2013,487.39
II 2013,484.48
I 2013,476.85
XII 2012,484.82
XI 2012,457.41
X 2012,452.8
IX 2012,457.34
VIII 2012,458.43
VII 2012,464.96
VI 2012,462.66
V 2012,464.01
IV 2012,448.75
III 2012,454.29
II 2012,455.69
I 2012,461.34
XII 2011,467.98
XI 2011,453.18
X 2011,442.06
IX 2011,444.75
VIII 2011,449.24
VII 2011,440.54
VI 2011,451.25
V 2011,447.25
IV 2011,441.13
III 2011,458.91
II 2011,444.2
I 2011,436.37
XII 2010,449.33
XI 2010,428.82
X 2010,420.15
IX 2010,419.21
VIII 2010,421.05
VII 2010,414.52
VI 2010,415.24
V 2010,409.02
IV 2010,388.31
III 2010,389.59
II 2010,383.43
I 2010,381.27
XII 2009,388.34
XI 2009,381.53
X 2009,378.64
IX 2009,372.83
VIII 2009,371.09
VII 2009,363.66
VI 2009,370.62
V 2009,359.93
IV 2009,351.97
III 2009,356.86
II 2009,347.6
I 2009,341.26
XII 2008,349.94
XI 2008,344.88
X 2008,345.54
IX 2008,355
VIII 2008,353.02
VII 2008,352.89
VI 2008,353.67
V 2008,343.81
IV 2008,327.11
III 2008,338
II 2008,328.72
I 2008,330.36
XII 2007,335.27
XI 2007,313.38
X 2007,302.67
IX 2007,309.75
VIII 2007,301.05
VII 2007,303.23
VI 2007,295.88
V 2007,293.06
IV 2007,285.35
III 2007,286.47
II 2007,284.71
I 2007,277.43
XII 2006,275.83
XI 2006,264.1
X 2006,254.66
IX 2006,253.3
VIII 2006,249
VII 2006,246.68
VI 2006,240.18
V 2006,237.37
IV 2006,222.68
III 2006,222.77
II 2006,224.48
I 2006,217.35